name,description,image,category,sub_category,sub_category_id
"Eva E Keratin Revitalizing Shampoo For Damaged Hair, 230Ml","ايفا اي كيراتين شامبو لاعادة حيوية الشعر التالف, 230 مل",,Hair Care,Shampoo,4
"Ever Pure Argan Oil Shampoo, 385Ml","ايفر بيور شامبو بخلاصة زيت الارجان, 385 مل",,Hair Care,Shampoo,4
"Ever Pure Biotin & Collagen Shampoo, 385 Ml","ايفر بيور شامبو بخلاصة البيوتين و الكولاجين, 385 مل",,Hair Care,Shampoo,4
"Ever Pure Brazilian Keratin Shampoo, 385 Ml","ايفر بيور شامبو بخلاصة الكيراتين البرازيلي, 385 مل",,Hair Care,Shampoo,4
"Ever Pure Shea Butter Shampoo, 385Ml","ايفر بيور شامبو بخلاصة زبدة الشيا, 385 مل",,Hair Care,Shampoo,4
"Floxia Deep Cleansing Energizing Shampoo, 200Ml","فلوكسيا شامبو التنظيف العميق لاعادة حيوية الشعر, 200 مل",,Hair Care,Shampoo,4
"Foltene Anti Dandruff Shampoo, 200Ml","فولتين شامبو مضاد للقشرة, 200 مل",,Hair Care,Shampoo,4
"Foltene Restructuring Coloured Hair Shampoo, 200Ml","فولتين شامبو اعادة بناء الشعر المصبوغ, 200 مل",,Hair Care,Shampoo,4
"Gliss Cover Hair Repair Keratin Shampoo, 250Ml","جليس شامبو بالكيرياتين للعناية بالشعر المغطى, 250 مل",,Hair Care,Shampoo,4
"Gliss Hair Repair Million Gloss Shampoo, 250Ml","جليس شامبو لمعالجة لمعان الشعر للشعر الباهت و غير اللامع, 250 مل",,Hair Care,Shampoo,4
"Gliss Hyaluron Hair Filler Shampoo For Dry Hair, 250Ml","جليس شامبو بالكيرياتين للشعر الجاف والتالف, 250 مل",,Hair Care,Shampoo,4
"Gliss Hyaluron Hair Filler Shampoo For Dry Hair,400Ml","جليس شامبو بالكيرياتين للشعر الجاف والتالف, 400 مل",,Hair Care,Shampoo,4
"Gliss Intense Therapy Shampoo, 250Ml","جليس شامبو العناية الكاملة لعلاج تساقط الشعر, 250 مل",,Hair Care,Shampoo,4
"Gliss Liquid Silk Gloss Shampoo, 250Ml","جليس شامبو لترطيب و تنعيم الشعر سيلك جلوس, 250 مل",,Hair Care,Shampoo,4
"Gliss Marrakesh Oil Shampoo For Prone-Dry Hair, 250Ml","جليس شامبو بزيت الارجان لمعالجة الشعر المائل للجفاف, 250 مل",,Hair Care,Shampoo,4
"Gliss Serum Deep Repair Shampoo, 250Ml","جليس شامبو سيرم للشعر للترطيب العميق, 250 مل",,Hair Care,Shampoo,4
"Gliss Total Hair Repair Shampoo, 250Ml","جليس شامبو العناية الكاملة للشعر, 250 مل",,Hair Care,Shampoo,4
"Gliss Ultimate Oil Elixir Hair Shampoo, 250Ml","جليس شامبو باكسير الزيت للشعر المجهد للغاية, 250 مل",,Hair Care,Shampoo,4
"Gliss Ultimate Repair Shampoo For Dry Hair, 250Ml","جليس شامبو العناية المتكاملة للشعر الجاف, 250 مل",,Hair Care,Shampoo,4
"Global Keratin Balancing Shampoo, 300Ml","جلوبال كيراتين بلسم , 300 مل",,Hair Care,Shampoo,4
"Global Keratin Color Protection Moisturizing Shampoo, 300Ml","جلوبال كيراتين شامبو مرطب يحافظ على لون صبغة الشعر , 300 مل",,Hair Care,Shampoo,4
"Global Keratin Hair Taming System Dry Shampoo, 219Ml","جي كيه شامبو جاف, 219 مل",,Hair Care,Shampoo,4
"Hair Mix Energizing And Anti-Dandruff, So4 Free, Shampoo,250Ml","هير ميكس شامبو معالج للقشرة خالى من SO4  , حجم 250 مل",,Hair Care,Shampoo,4
"Head And Shoulders Classic Clean Shamp00,400Ml","هيد اند شولدرز شامبو كلاسيك كلين,  400 مل",,Hair Care,Shampoo,4
"Head And Shoulders Hair Fall Defense Shampoo For Men, 200Ml","هيد اند شولدرز شامبو للرجال للحماية من تساقط الشعر, 200 مل",,Hair Care,Shampoo,4
"Head And Shoulders Itchy Scalp Care Shampoo, 200Ml","هيد اند شولدورز شامبو عناية ضد الحكة لفروة الرأس, 200 مل",,Hair Care,Shampoo,4
"Head And Shoulders Itchy Scalp Care Shampoo, 400Ml","هيد اند شولدرز عناية ضد الحكة لفروة الرأس, 400 مل",,Hair Care,Shampoo,4
"Head And Shoulders Lively & Silky Dry Hair Shampoo, 200Ml","هيد اند شولدرز شامبو لايفلي اند سيلكي لعلاج الشعر الجاف , 200 مل",,Hair Care,Shampoo,4
Head And Shoulders Menthol Refresh Shampoo 400Ml,"هيد اند شولدرز شامبو منتول ريفرش,  400 مل",,Hair Care,Shampoo,4
"Head And Shoulders Refreshing Menthol Shampoo, 200Ml","هيد اند شولدرز شامبو منتول ريفرشينج , 200 مل",,Hair Care,Shampoo,4
"Head And Shoulders Silky For Dry Hair Shampoo, 400Ml","هيد اند شولدرز شامبو لشعر ناعم مثل الحرير للشعر الجاف, 400 مل",,Hair Care,Shampoo,4
"Head And Shoulders Total Care Shampoo, 400Ml","هيد اند شولدرز شامبو العناية الكاملة, 400 مل",,Hair Care,Shampoo,4
"Herbal Body Envy Volumizing Shampoo, 200Ml","هيربال ايسنسز شامبو لزيادة كثافة الشعر, 200 مل",,Hair Care,Shampoo,4
"Herbal Body Envy Volumizing Shampoo, 400Ml","هيربال ايسنسز شامبو لزيادة كثافة الشعر, 400 مل",,Hair Care,Shampoo,4
"Herbal Clean White Strawberry & Sweet Mint Shampoo, 400Ml","هيربال ايسنسز شامبو بخلاصة الفراولة البيضاء و النعناع, 400 مل",,Hair Care,Shampoo,4
"Herbal Essences  Moroccan My Shine Shampoo, 400Ml","هيربال ايسينسز شامبو للشعر الاشراقة المغربية بزيت الارجان, 400 مل",,Hair Care,Shampoo,4
"Herbal Essences Beautiful Ends Shampoo, 700Ml","هيربال ايسينسز شامبو للشعر طول على طول يغذى اطراف الشعر, 700 مل",,Hair Care,Shampoo,4
"Herbal Essences Hello Hydration Moisturizing Shampoo, 700Ml","هيربال ايسينسز شامبو للشعر باي باي جفاف برائحة جوز الهند, 700 مل",,Hair Care,Shampoo,4
"Herbal Essences Ignite My Color Shampoo, 400Ml","هيربال ايسينسز شامبو للشعر لون ورا  لون, للشعر المصبوغ, 400 مل",,Hair Care,Shampoo,4
"Herbal Essences Moisturizing Shampoo, 400Ml","هيربال ايسنسز شامبو مرطب للشعر بخلاصة الروزماري, 400 مل",,Hair Care,Shampoo,4
"Herbal Essences Moroccan My Shine Shampoo, 700Ml","هيربال ايسينسز شامبو للشعر الاشراقة المغربية بزيت الارجان, 700 مل",,Hair Care,Shampoo,4
"Herbal Essences Shine Shampoo, 400Ml","هيربال ايسنسز شامبو لشعر لامع بخلاصة الخيار و الشاي الاخضر, 400 مل",,Hair Care,Shampoo,4
"Herbalessences  Bee Strong Strengthening Shampoo, 400Ml","هيربال ايسينسز شامبو للشعر بقوة العسل لاصلاح الشعر, 400 مل",,Hair Care,Shampoo,4
"Ketoral Plus Anti Dandruff Shampoo, 125Ml","كيتورال بلاس شامبو مضاد للقشرة, 125 مل",,Hair Care,Shampoo,4
L'oreal Dream long Bundle,مجموعة لوريال دريم لونج,,Hair Care,Shampoo,4
L'Oreal Extraordinary Bundle,مجموعة لوريال إكسترا اورديناري,,Hair Care,Shampoo,4
L'Oreal Paris Elvive Argenine Resist X3 Shampoo - 200ml,لوريال باريس شامبو الفيف بمقاومة الأرجانين X3 ضد تساقط الشعر - 200 مل,,Hair Care,Shampoo,4
L'Oreal Paris Elvive Argenine Resist X3 Shampoo - 400ml,لوريال باريس شامبو الفيف بمقاومة الأرجانين X3 ضد تساقط الشعر - 400 مل,,Hair Care,Shampoo,4
L'Oreal Paris Elvive Arginine Resist X3 Shampoo - 400ml + Conditioner - 200ml + Oil Replacement - 125ml,لوريال باريس شامبو الفيف بمقاومة الأرجانين X3 ضد تساقط الشعر - 400 مل + بلسم - 200 مل + بديل الزيت - 125 مل,,Hair Care,Shampoo,4
L'Oreal Paris Elvive Arginine Resist X3 Shampoo - 700ml,لوريال باريس شامبو الفيف بمقاومة الأرجانين X3 ضد تساقط الشعر - 700 مل,,Hair Care,Shampoo,4
L'Oreal Paris Elvive Arginine Resist X3 Shampoo 700ml + Oil Replacement 125ml,لوريال باريس الفيف شامبو بالأرجنين X3 ضد تساقط الشعر 700 مل + بديل الزيت 125 مل,,Hair Care,Shampoo,4
L'Oreal Paris Elvive Extraordinary Oil Dry Hair Shampoo - 200ml,لوريال باريس شامبو الفيف مغذي بالزيت الإستثنائي للشعر الجاف - 200 مل,,Hair Care,Shampoo,4
L'Oreal Paris Elvive Extraordinary Oil Dry Hair Shampoo - 400ml,لوريال باريس شامبو الفيف مغذي بالزيت الإستثنائي للشعر الجاف - 400 مل,,Hair Care,Shampoo,4
L'Oreal Paris Elvive Extraordinary Oil Dry Hair Shampoo - 700ml,لوريال باريس الفيف شامبو مغذي بالزيت الإستثنائي للشعر الجاف - 700 مل,,Hair Care,Shampoo,4
L'Oreal Paris Elvive Extraordinary Oil Very Dry Hair Shampoo - 400ml,لوريال باريس شامبو الفيف مغذي بالزيت الإستثنائي للشعر شديد الجاف - 400 مل,,Hair Care,Shampoo,4
L'Oreal Paris Elvive Extraordinary Oil Very Dry Hair Shampoo - 700ml,لوريال باريس شامبو الفيف مغذي بالزيت الإستثنائي للشعر شديد الجاف - 700 مل,,Hair Care,Shampoo,4
L'Oreal Paris Elvive Keratin Straight 72H Shampoo - 200ml,لوريال باريس شامبو الفيف إنسيابية الكيرياتين فرد للشعر لـ 72 ساعة - 200 مل,,Hair Care,Shampoo,4
L'Oreal Paris Elvive Keratin Straight 72H Shampoo - 400ml,لوريال باريس شامبو الفيف إنسيابية الكيرياتين فرد للشعر لـ 72 ساعة - 400 مل,,Hair Care,Shampoo,4
L'Oreal Paris Elvive Keratin Straight 72H Shampoo For Frizzy Hair - 700ml,لوريال باريس شامبو الفيف إنسيابية الكيرياتين فرد للشعر لـ72 ساعة للشعر المجعد والمتشابك - 700 مل,,Hair Care,Shampoo,4
L'Oreal Paris Elvive Total Repair 5 Low Shampoo Sulfate And Foam Free - 400ml,لوريال باريس شامبو الفيف العلاج المتكامل الخماسي - بدون سلفات أو رغوة - 400 مل,,Hair Care,Shampoo,4
L'Oreal Paris Elvive Total Repair 5 Shampoo - 200ml,لوريال باريس شامبو الفيف العلاج الخماسي المتكامل - 200 مل,,Hair Care,Shampoo,4
L'Oreal Paris Elvive Total Repair 5 Shampoo - 400ml,لوريال باريس شامبو الفيف العلاج الخماسي المتكامل - 400 مل,,Hair Care,Shampoo,4
L'Oreal Paris Elvive Total Repair 5 Shampoo - 700ml,لوريال باريس شامبو الفيف العلاج الخماسي المتكامل - 700 مل,,Hair Care,Shampoo,4
L'Oreal Paris Elvive Total Repair 5 Shampoo - 700ml + Oil Replacement - 125ml,لوريال باريس شامبو الفيف العلاج الخماسي المتكامل - 700 مل + بديل الزيت - 125 مل,,Hair Care,Shampoo,4
"Lovea Karite Shea Shampoo For Normal To Dry Hair, 500Ml","لوفيا نيتشر شامبو بالشيا للشعر العادي و الجاف, 500 مل",,Hair Care,Shampoo,4
"Luna Panthenol For Dry Hair Shampoo, 200M","لونا شامبو مرطب بالبانثينول للشعر الجاف, 200 مل",,Hair Care,Shampoo,4
"Luna Panthenol Shampoo For Greasy Hair, 200Ml","لونا بانثينول شامبو مرطب و مضاد للقشرة للشعر الدهني, 200 مل",,Hair Care,Shampoo,4
"Luna Shale Oil Shampoo, 200Ml","لونا شامبو بخلاصة زيت الشال, 200 مل",,Hair Care,Shampoo,4
"Natura Keratin Clarifying Shampoo, 1000Ml","ناتورا فري مي شامبو بعد الكيراتين, 1000 مل",,Hair Care,Shampoo,4
"Natura Keratin Clarifying Shampoo, 120Ml","ناتورا  شامبو بالكيرياتين لترطيب الشعر, 120 مل",,Hair Care,Shampoo,4
"Natura Keratin Sulfate Free Shampoo, 354Ml","ناتورا شامبو بعد الكيراتين خالي من السلفات, 354 مل",,Hair Care,Shampoo,4
"Natura Nutritive Shampoo, 1000Ml","ناتورا شامبو مغذى للشعر, 1000مل",,Hair Care,Shampoo,4
"Nerso Anti Dandruff Shampoo, 150Ml",نيرسو شامبو ضد القشرة، 150 مل,,Hair Care,Shampoo,4
Neuth Shampoo,نيوث شامبو مكثف مضاد لتساقط الشعر,,Hair Care,Shampoo,4
"Nizapex Antifungal Shampoo, 80 Ml","نيزابكس شامبو مضاد للفطريات, 80 مل",,Hair Care,Shampoo,4
"Nizoral Against Dandruff Shampoo, 60 Ml","نيزورال شامبو ضد القشرة, 60 مل",,Hair Care,Shampoo,4
"Ogx Argan Oil Of Morocco Shampoo, 385 ml",أو جي إكس شامبو مجدد مع زيت الأرجان المغربي، 385 مل,,Hair Care,Shampoo,4
"Ogx Biotin & Collagen Shampoo, 385 ml",أو جي إكس شامبو بيوتين وكولاجين، 385 مل,,Hair Care,Shampoo,4
"Ogx Brazilian Keratin Shampoo, 385 ml",أو جي إكس شامبو الكيراتين البرازيلي، 385 مل,,Hair Care,Shampoo,4
"Ogx Coconut Milk Shampoo, 385 ml",أو جي إكس شامبو بحليب جوزالهند، 385 مل,,Hair Care,Shampoo,4
"Ogx Keratin Oil Shampoo, 385 ml",أو جي إكس شامبو زيت الكيراتين، 385 مل,,Hair Care,Shampoo,4
"Ogx Kukui Oil Shampoo, 385 ml",أو جي إكس شامبو زيت الكوكوي، 385 مل,,Hair Care,Shampoo,4
"Pantene 2X1 Anti Dandruff Shampoo, 200 Ml","بانتين شامبو , شامبو ضد القشرة, 200 مل",,Hair Care,Shampoo,4
"Pantene 2X1 Classic Daily Shampoo, 600Ml","بانتين شامبو كلاسيك العناية اليومية, 600 مل",,Hair Care,Shampoo,4
"Pantene Anti-Hair Fall Shampoo, 400Ml","بانتين شامبو لمعالجة تساقط الشعر, 400 مل",,Hair Care,Shampoo,4
"Pantene Anti-Hair Fall Shampoo, 600Ml","بانتين شامبو لمعالجة تساقط الشعر, 600 مل",,Hair Care,Shampoo,4
"Pantene Milky Damage Repair Shampoo, 600Ml","بانتين شامبو عناية ميلكي للشعر التالف, 600 مل",,Hair Care,Shampoo,4
"Pantene Milky Damage Repair Shampoo,200Ml","بانتين شامبو لعلاج الشعر التالف , 200 مل",,Hair Care,Shampoo,4
"Pantene Moisturing Renewal Shampoo For Dry Hair, 400Ml","بانتين شامبو العناية المرطبة للشعر الشديد الجفاف, 400 مل",,Hair Care,Shampoo,4
"Pantene Moisturising Renewal Shampoo For Dry Hair, 600Ml","بانتين شامبو العناية المرطبة للشعر الشديد الجفاف, 600 مل",,Hair Care,Shampoo,4
"Pantene Nature Fusion Shampoo, 180 Ml","بانتين شامبو امتزاج الطبيعة, 180 مل",,Hair Care,Shampoo,4
"Pantene Nature Fusion Shampoo, 360Ml","بانتين شامبو امتزاج الطبيعة للشعر المقصف, 360 مل",,Hair Care,Shampoo,4
"Pantene Nature Fusion Shampoo, 600Ml","بانتين شامبو امتزاج الطبيعة للشعر المقصف, 600 مل",,Hair Care,Shampoo,4
"Pantene Pro V, Milky Damage Repairing Shampoo, 400Ml","بانتين برو فى شامبو علاج ميلكى للشعر التالف , 400 مل",,Hair Care,Shampoo,4
"Pantene Pro-V 2X1 Anti-Dandruff Shampoo, 400Ml","بانتين شامبو  برو-في للشعر لمعالجة القشرة, 400 مل",,Hair Care,Shampoo,4
"Pantene Pro-V Sheer Volume Shampoo, 200 Ml","بانتين شامبو لزيادة كثافة الشعر, 200 مل",,Hair Care,Shampoo,4
"Pantene Pro-V Sheer Volume Shampoo, 400Ml","بانتين شامبو برو في لشعر اكثر كثافة,400 مل",,Hair Care,Shampoo,4
"Pantene Pro-V Smooth And Silky Shampoo, 200Ml","بانتين برو- فى شامبو , 200 مل",,Hair Care,Shampoo,4
"Pantene Pro-V Smooth And Silky Shampoo, 400Ml","بانتين برو فى شامبو لشعر ناعم و انسيابى سموث اند سيلكى, 400 مل",,Hair Care,Shampoo,4
"Pantene Smooth And Silky Shampoo, 600Ml","بانتين شامبو لشعر ناعم و حريرى,  600 مل",,Hair Care,Shampoo,4
"Pelogo Hair Shampoo, 250Ml","بيلوجو شامبو للشعر, 250 مل",,Hair Care,Shampoo,4
"Pert Plus  Shampoo With Olive Oil For Dry And Damaged Hair, 400Ml","بيرت بلس شامبو بزيت الزيتون للشعر الجاف و المتضرر, 400 مل",,Hair Care,Shampoo,4
"Pert Plus 2 In 1 Shampoo And Conditioner For Dry Hair, 190 Ml","برت بلس 2*1 شامبو وبلسم للشعر الجاف, 190 مل",,Hair Care,Shampoo,4
"Pert Plus Anti Hair Fall Shampoo With Ginger Extract, 190Ml",برت بلس شامبو ضد تساقط الشعر بخلاصة الزنجبيل، 190 مل,,Hair Care,Shampoo,4
"Pert Plus Anti Hair Fall Shampoo With Ginger Extract, 400 Ml",برت بلس شامبو ضد تساقط الشعر بخلاصة الزنجبيل، 400 مل,,Hair Care,Shampoo,4
"Pert Plus Anti Hair Fall Shampoo With Ginger Extract, 700 Ml",برت بلس شامبو ضد تساقط الشعر بخلاصة الزنجبيل، 700 مل,,Hair Care,Shampoo,4
"Pert Plus Anti-Dandruff 2 In 1 Shampoo & Conditioner, 400 ML",برت بلس 2*1 شامبو وبلسم ضد القشرة، 400 مل,,Hair Care,Shampoo,4
"Pert Plus Henna Strong Hair Shampoo, 200Ml",برت بلس شامبو بخلاصة الحنة لشعر قوي، 200 مل,,Hair Care,Shampoo,4
"Pert Plus Henna Strong Hair Shampoo, 400Ml",برت بلس شامبو بخلاصة الحنة لشعر قوي، 400 مل,,Hair Care,Shampoo,4
"Pert Plus Henna Strong Hair Shampoo, 700Ml",برت بلس شامبو بخلاصة الحنة لشعر قوي، 700 مل,,Hair Care,Shampoo,4
"Pert Plus Intensive Nourishment Oil Extracts Shampoo, 190 Ml","بيرت بلس شامبو انتينسيف بخلاصة الزيت المغذي,190 مل",,Hair Care,Shampoo,4
"Pert Plus Intensive Nourishment Oil Extracts Shampoo, 700 Ml","بيرت بلس شامبو انتينسيف بخلاصة الزيت المغذي,700 مل",,Hair Care,Shampoo,4
"Pert Plus Intensive Nourishment Oil Extracts Shampoo, 700 Ml","بيرت بلس شامبو انتينسيف بخلاصة الزيت المغذي,700 مل",,Hair Care,Shampoo,4
"Pert Plus Shampoo With Chamomile For Damaged Hair, 400 Ml",برت بلس شامبو بخلاصة البابونج للشعر التالف، 400 مل,,Hair Care,Shampoo,4
"Pert Plus Shampoo With Honey For Normal Hair, 190  Ml",برت بلس شامبو بخلاصة العسل للشعر العادي، 190 مل,,Hair Care,Shampoo,4
"Pert Plus Shampoo With Honey For Normal Hair, 400 Ml",برت بلس شامبو بخلاصة العسل للشعر العادي، 400 مل,,Hair Care,Shampoo,4
"Pert Plus Shampoo With Honey For Normal Hair, 700 Ml",برت بلس شامبو بخلاصة العسل للشعر العادي، 700 مل,,Hair Care,Shampoo,4
"Pert Plus Shampoo With Mandarin Extracts For Oily Hair, 400 Ml",برت بلاس شامبو بخلاصة الماندرين للشعر الدهني ، 400 مل,,Hair Care,Shampoo,4
"Pert Plus Shampoo With Olive Oil Extract For Damaged Hair,190Ml",بيرت بلس شامبو بخلاصة زيت الزيتون للشعر التالف، 190 مل,,Hair Care,Shampoo,4
"Pert Plus Shampoo With Olive Oil For Dry And Damaged Hair, 700Ml","بيرت بلس شامبو بزيت الزيتون للشعر الجاف و المتضرر, 700 مل",,Hair Care,Shampoo,4
"Phyto Cedrat Sebo-Regulates Shampoo For Oily Scalp, 200Ml","فايتو سيدرات شامبو منظم للدهون لفروة الرأس الدهنية, 200 مل",,Hair Care,Shampoo,4
"Phyto Citrus Restructuring Shampoo, 200Ml","فايتو سيترس شامبو لاعادة بناء الشعر, 200 مل",,Hair Care,Shampoo,4
"Phyto Elixir Cleansing Care Cream For Ultra Dry Hair, 75Ml","فايتو اليكسير كريم منظف للشعر و فروة الرأس للشعر شديد الجفاف, 75 مل",,Hair Care,Shampoo,4
"Phyto Elixir Intense Nutrition Shampoo For Ultra Dry Hair, 200Ml","فايتو اليكسير شامبو التغذية المكثفة للشعر شديد الجفاف, 200 مل",,Hair Care,Shampoo,4
"Phyto Joba Intense Hydrating Shampoo, 200Ml","فايتو جوبا شامبو الترطيب المكثف, 200 مل",,Hair Care,Shampoo,4
"Phyto Keratine Extreme Shampoo, 200Ml","فايتو كيراتين اكستريم شامبو, 200 مل",,Hair Care,Shampoo,4
"Phyto Keratine Shampoo, 200Ml","فايتو شامبو بالكيراتين, 200 مل",,Hair Care,Shampoo,4
"Phyto Phytorhum Fortifieng Shampoo, 200Ml","فايتو فايتوروم شامبو مقوي للشعر, 200 مل",,Hair Care,Shampoo,4
"Polytar Hair Shampoo Anti Dandruff Itch Scalp Cleanser, 125 Ml","بولى تار شامبو معالج للقشرة و حكة الرأس و القمل, 125 مل",,Hair Care,Shampoo,4
"Proker Keratin Anti-Hair Loss Shampoo, 250Ml","بروكر شامبو بالكيراتين والكافايين لمنع تساقط الشعر, 250 مل",,Hair Care,Shampoo,4
"Seba Med Anti Dandruff Shampoo For Oily Scalp, 200Ml","سيباميد شامبو مضاد للقشرة لفروة الرأس الدهنية, 200 مل",,Hair Care,Shampoo,4
"Aroma Intense ,Color Cream-4.0,  Chestnut",اروما انتينس، صبغة شعر كريمي-4.0، الكستناء,,Hair Care,Hair Dye,5
"Aroma Intense ,Color Cream-4.5, Mahogany Chestnut",اروما انتينس، صبغة شعر كريمي-4.5، كستناء ماهوجاني,,Hair Care,Hair Dye,5
"Aroma Intense ,Color Cream-5.3, Golden Chestnut",اروما انتينس، صبغة شعر كريمي-5.3، الكستناء الذهبي,,Hair Care,Hair Dye,5
"Aroma Intense ,Color Cream-6.0, Light Brown",اروما انتينس، صبغة شعر كريمي-6.0، بني فاتح,,Hair Care,Hair Dye,5
"Aroma Intense ,Color Cream-6.26, Ruby Red",اروما انتينس، صبغة شعر كريمي- 6.26، أحمر روبي,,Hair Care,Hair Dye,5
"Aroma Intense Color Cream-10.0, Scandinavian Blond",أروما انتينس صبغة كريمي 10.0، دهبي اسكاندانافيان,,Hair Care,Hair Dye,5
"Aroma Intense Color Cream-10.2, Classic Blond",أروما انتينس صبغة كريمي 10.2، دهبي كلاسيك,,Hair Care,Hair Dye,5
"Aroma Intense Color Cream-11.2, Silver Blond",أروما انتينس صبغة كريمي للشعر-11.2، لون فضي أشقر,,Hair Care,Hair Dye,5
"Aroma Intense Color Cream-4.3, Mahogany",أروما انتينس صبغة كريمي للشعر- 4.3، ماهوجاني,,Hair Care,Hair Dye,5
"Aroma Intense Color Cream-5.0, Brown",أروما انتينس صبغة كريمي للشعر-5.0، لون بني,,Hair Care,Hair Dye,5
"Aroma Intense Color Cream-7.0, Light Blond",أروما انتينس صبغة كريمي 7.0، دهبي فاتح,,Hair Care,Hair Dye,5
"Aroma Intense Color Cream-8.1, Ash Blond",أروما انتينس صبغة كريمي 8.1 دهبي رمادي,,Hair Care,Hair Dye,5
"Aroma Intense Color Cream-9.0, Dark Blond",أروما انتينس صبغة كريمي 9.0، دهبي غامق,,Hair Care,Hair Dye,5
"Aroma Intense Hair Color- 1.0, Black",أروما انتيسي صبغة شعر- 0.1، أسود,,Hair Care,Hair Dye,5
"Aroma Intense Hair Color- 1.1, Blue Black",أروما انتيسي صبغة شعر- 1.1، أسود مائل للازرق,,Hair Care,Hair Dye,5
"Aroma Intense Hair Color- 3.0, Dark Chocolate",أروما انتيسي صبغة شعر- 3.0، لون الشكولاتة الداكن,,Hair Care,Hair Dye,5
"Bigen Hair Colour - 46 , Light Chestnut","بايجن صبغة شعر - 46 , اللون الكستنائى الفاتح",,Hair Care,Hair Dye,5
"Bigen Hair Colour Dark Brown- 57, 6Gm","صبغة بايجن للشعر- 57  بني غامق ,  6 جم",,Hair Care,Hair Dye,5
"Bigen Hair Colour Oriental Black- 59, 6Gm","صبغة بايجن للشعر - 59 أسود أورينتال , 6 جم",,Hair Care,Hair Dye,5
"Bigen Hair Colour, 56 - Rich Medium Brown","صبغة الشعر بايجن, 56 -بنى متوسط غنى",,Hair Care,Hair Dye,5
"Bigen Speedy Hair Color, Black, 40 Gm","بايجن سبيدي صبغة فورية للشعر, لون: اسود, 40 جم",,Hair Care,Hair Dye,5
"Bionike Shine On Hair Dyes Colour - 3, Dark Brown",بايونيكيه شاين أون صبغة الشعر- 3 ، لون بني غامق,,Hair Care,Hair Dye,5
"Bionike Shine On Hair Dyes Colour - 4, Brown",بايونيكيه شاين أون صبغة الشعر- 4 ، لون بني,,Hair Care,Hair Dye,5
"Bionike Shine On Hair Dyes Colour - 4.05, Chocolate Brown",بايونيكيه شاين أون صبغة الشعر- 4.05 ، لون بني شكولاه,,Hair Care,Hair Dye,5
"Bionike Shine On Hair Dyes Colour - 4.3, Golden Brown",بايونيكيه شاين أون صبغة الشعر- 4.3 ، لون بني جولدن,,Hair Care,Hair Dye,5
"Bionike Shine On Hair Dyes Colour - 4.5,  Mahogany Brown",بايونيكيه شاين أون صبغة الشعر- 4.5 ، لون بني ماهوغاني,,Hair Care,Hair Dye,5
"Bionike Shine On Hair Dyes Colour - 5.38, Chocolate Light Brown",بايونيكيه شاين أون صبغة الشعر- 5.38 ، لون بني شكولاه فاتح,,Hair Care,Hair Dye,5
"Bionike Shine On Hair Dyes Colour - 5.4, Chestnut Light Copper",بايونيكيه شاين أون صبغة الشعر-5.4 ، لون كستنائي نحاسي فاتح,,Hair Care,Hair Dye,5
"Bionike Shine On Hair Dyes Colour - 6.34, Copper Golden Dark Blonde",بايونيكيه شاين أون صبغة الشعر-6.34 ، لون اشقر,,Hair Care,Hair Dye,5
"Bionike Shine On Hair Dyes Colour - 7.3, Golden Blonde",بايونيكيه شاين أون صبغة الشعر- 7.3 ، لون أشقر دهبي,,Hair Care,Hair Dye,5
"Bionike Shine On Hair Dyes Colour -10, Extra Light Blonde",بايونيكيه شاين أون صبغة الشعر- 10 ، لون اشقر اكسترا لايت,,Hair Care,Hair Dye,5
"Bionike Shine On Hair Dyes Colour -5, Light Brown",بايونيكيه شاين أون صبغة الشعر-5 ، لون بني فاتح,,Hair Care,Hair Dye,5
"Bionike Shine On Hair Dyes Colour -6 ,Dark Blonde",بايونيكيه شاين أون صبغة الشعر- 6 ، لون اشقر غامق,,Hair Care,Hair Dye,5
"Bionike Shine On Hair Dyes Colour -7, Blonde",بايونيكيه شاين أون صبغة الشعر- 7، لون نحاسي دهبي مائل للأشقر الغامق,,Hair Care,Hair Dye,5
"Bionike Shine On Hair Dyes Colour -8.3, Golden Light Blonde",بايونيكيه شاين أون صبغة الشعر-8.3 ، لون اشقر دهبي فاتح,,Hair Care,Hair Dye,5
"Bionike Shine On Hair Dyes Colour -9, Very Light Blonde",بايونيكيه شاين أون صبغة الشعر- 9 ، لون اشقر  فاتح جدا,,Hair Care,Hair Dye,5
"Bionike Shine On Hair Dyes Colour- 1,  Black",بايونيكيه شاين أون صبغة الشعر- 1 ، لون أسود,,Hair Care,Hair Dye,5
"Bionike Shine On Hair Dyes Colour- 7.32,  Caramel Blonde",بايونيكيه شاين أون صبغة الشعر-7.32 ، لون أشقر كراميل,,Hair Care,Hair Dye,5
"Bionike Shine On Hair Dyes Colour- 7.4, Copper Blonde",بايونيكيه شاين أون صبغة الشعر- 7.4 ، لون اشقر نحاسي,,Hair Care,Hair Dye,5
"Bionike Shine On Hair Dyes Colour- 8, Light Brown",بايونيكيه شاين أون صبغة الشعر- 8، لون اشقر فاتح,,Hair Care,Hair Dye,5
"Bionike Shine On Hair Dyes Colour, 6.05, Blonde Dark Chocolate",بايونيكيه شاين أون صبغة الشعر- 6.05 ، لون اشقر  شكولاه غامق,,Hair Care,Hair Dye,5
