name,image
"جلوبال كيراتين بلسم مرطب يحافظ على لون صبغة الشعر,  300 مل",https://www.yodawy.com/wp-content/uploads/2021/02/850704002318-350x350.jpg
"جلوبال كيراتين بلسم,  300 مل",https://www.yodawy.com/wp-content/uploads/2021/02/850704002967-350x350.jpg
"جليس بلسم الاصلاح الشامل للشعر شديد الجفاف و التالف, 200مل",https://www.yodawy.com/wp-content/uploads/2021/02/9000100662987-350x350.jpg
"جليس بلسم العناية الكالملة للشعر الجاف, 200 مل",https://www.yodawy.com/wp-content/uploads/2021/02/5012583009658-350x350.jpg
"جليس بلسم العناية المكثفة, 200مل",https://www.yodawy.com/wp-content/uploads/2021/02/6281031259641-350x350.jpg
"جليس بلسم باكسير الزيت للشعر المجهد للغاية, 200 مل",https://www.yodawy.com/wp-content/uploads/2021/02/9000100801331-350x350.jpg
"جليس بلسم سيروم معالج للشعر, 200 مل",https://www.yodawy.com/wp-content/uploads/2021/02/4015001004144-350x350.jpg
"جليس بلسم لمعالجة لمعان الشعر للشعر الباهت و غير اللامع, 200 مل",https://www.yodawy.com/wp-content/uploads/2021/02/9000100829885-226x350.jpg
"جونسون بلسم الاصلاح المركز, 400 مل",https://www.yodawy.com/wp-content/uploads/2021/02/6281006442009-350x350.jpeg
"دابر فاتيكا بلسم مرطب للشعر بخلاصة الحنة, 400 مل",https://www.yodawy.com/wp-content/uploads/2021/02/6224000851453-274x350.jpg
"دوف بلسم العناية اليومية, 400 مل",https://www.yodawy.com/wp-content/uploads/2021/02/6281006442023-350x350.png
"سايوس اوليو 21 بلسم العناية المكثفة بالشعر, 500 مل",https://www.yodawy.com/wp-content/uploads/2021/02/6281031248706.jpg
"سايوس بلسم بالكيراتين لشعر مثالي, 500 مل",https://www.yodawy.com/wp-content/uploads/2021/02/6192430009235-350x350.jpg
"سايوس بلسم للعناية بجذور الشعر الدهني, 500 مل",https://www.yodawy.com/wp-content/uploads/2021/02/6192430013799-245x350.jpg
"سايوس بلسم معالج للشعر الجاف و التالف, 500 مل",https://www.yodawy.com/wp-content/uploads/2021/02/4015000944052-350x350.jpg
"سايوس سيرامايد كومبلكس بلسم معالجة الشعر المتقصف, 500 مل",https://www.yodawy.com/wp-content/uploads/2021/02/6192430012440-350x350.jpg
"سايوس شاين بوست بلسم لزيادة لمعان الشعر الباهت, 500 مل",https://www.yodawy.com/wp-content/uploads/2021/02/6192430005107-227x350.jpg
"سيباميد بلسم اصلاح الشعر لجميع انواع الشعر, 200 مل",https://www.yodawy.com/wp-content/uploads/2021/02/4103040119896.jpg
صانسيلك بلسم بالعسل ضد تقصّف الشعر، 350 مل,https://www.yodawy.com/wp-content/uploads/2021/02/6281006444157-350x350.jpg
صانسيلك بلسم بجوز الهند المرطّب، 350 مل,https://www.yodawy.com/wp-content/uploads/2021/02/6281006444218-350x350.jpg
"فايتو بلسم الاصلاح الفوري للشعر التالف, 150 مل",https://www.yodawy.com/wp-content/uploads/2021/02/618059102417.jpg
"فايتو بلسم لزياد كثافة الشعر الرقيق, 150 مل",https://www.yodawy.com/wp-content/uploads/2021/02/618059102264-350x350.jpg
"فولتين بلسم مغذي و مرطب للشعر للسيدات, 150 مل",https://www.yodawy.com/wp-content/uploads/2021/02/8013134002613-350x350.jpg
فيلا بورجيني بلسم سبراي، 200 مل,https://www.yodawy.com/wp-content/uploads/2021/02/8034097432033.jpg
فيلا بورجيني ماسك لاعادة بناء الشعر، 200 مل,https://www.yodawy.com/wp-content/uploads/2021/02/285411-350x141.jpg
"كاميليو بلسم ليف ان بالكيراتين السائل لحماية الشعر الملون, 150 مل",https://www.yodawy.com/wp-content/uploads/2021/02/5901350435908-350x350.jpg
"لوفيا نيتشر بلسم ليف ان بزبدة الشيا لجميع انواع الشعر, 250 مل",https://www.yodawy.com/wp-content/uploads/2021/02/3248140000826.jpeg
مينك حمام كريم بالكرياتين، 500 مل,https://www.yodawy.com/wp-content/uploads/2021/02/6222014504709-350x350.jpg
ناتشوريا، أورجانيك بلسم وماسك الشعر، 180 مل,https://www.yodawy.com/wp-content/uploads/2021/02/642337994739-2-350x350.jpg
"ناتورا بلسم مغذى للشعر, 1000مل",https://www.yodawy.com/wp-content/uploads/2021/02/2703913-217x350.jpg
"ناتورا فري مي بلسم مغذي للشعر بعد الكيراتين, 354 مل",https://www.yodawy.com/wp-content/uploads/2021/02/2703511-206x350.jpg
نيوث بلسم مكثف مضاد لتساقط الشعر,https://www.yodawy.com/wp-content/uploads/2020/12/5997570705280-350x350.jpg
"هيد اند شولدرز بلسم مضاد للقشرة بالنعناع المنعش, 360 مل",https://www.yodawy.com/wp-content/uploads/2021/02/5410076896547.jpg
"هيربال ايسنسز بلسم بالعسل لتقوية الشعر, 360 مل",https://www.yodawy.com/wp-content/uploads/2021/02/5410076952625-350x350.jpg
"هيربال ايسنسز بلسم بخلاصة الفراولة البيضاء و النعناع, 400 مل",https://www.yodawy.com/wp-content/uploads/2021/02/8001090662262-350x350.jpg
"هيربال ايسنسز بلسم لزيادة كثافة الشعر, 360 مل",https://www.yodawy.com/wp-content/uploads/2021/02/381519019333-224x350.jpg
"هيربال ايسنسز بلسم لزيادة لمعان الشعر العادي, 400 مل",https://www.yodawy.com/wp-content/uploads/2021/02/5011321624993-350x350.jpg
"هيربال ايسنسز بلسم لشعر لامع بخلاصة الخيار و الشاي الاخضر, 400 مل",https://www.yodawy.com/wp-content/uploads/2021/02/4015600942823-350x350.jpg
"هيربال ايسنسز بلسم لمعالجة اطراف الشعر, 360 مل",https://www.yodawy.com/wp-content/uploads/2021/02/4084500635708-213x350.jpg
"هيربال ايسنسز بلسم مرطب للشعر بخلاصة الروزماري, 400 مل",https://www.yodawy.com/wp-content/uploads/2021/02/4015600942861-247x350.png
أو جي إكس سيرم مضاد للتكسر، 118 مل,https://www.yodawy.com/wp-content/uploads/2020/12/574661563411-350x350.jpg
"انليفن اسبراي لتثبيت الشعر الترا هولد,  300 مل",https://www.yodawy.com/wp-content/uploads/2021/02/5055028381735-112x350.jpg
"انليفن موس للعناية بالشعر الترا بالبرو فيتامين , 300 مل",https://www.yodawy.com/wp-content/uploads/2021/02/5055028381728-350x350.jpg
"ايفا اي كيراتين سيروم الحماية من الشمس ثنائي المفعول, 100 مل",https://www.yodawy.com/wp-content/uploads/2021/02/6223001382683.jpg
"ايفا بديل الزيت للشعر العادي, 250 مل",https://www.yodawy.com/wp-content/uploads/2021/02/6223004371608.png
"ايفا بديل الزيت للشعر المجهد و المصبوغ, 250 مل",https://www.yodawy.com/wp-content/uploads/2021/02/6223004371615.jpg
ايفا كريم الشعر بخلاصة الاملا، 185 جرام,https://www.yodawy.com/wp-content/uploads/2021/02/6223004375293-350x350.jpg
ايفا كريم الشعر بخلاصة الاملا، 45 جرام,https://www.yodawy.com/wp-content/uploads/2021/02/6223004375279-350x350.jpg
ايفا كريم الشعر بخلاصة الاملا، 85 جرام,https://www.yodawy.com/wp-content/uploads/2021/02/6223004375286-350x350.jpg
ايفا كريم الشعر بخلاصة زيت اللوز، 185 جرام,https://www.yodawy.com/wp-content/uploads/2021/02/6223004375262-350x350.jpg
ايفا كريم الشعر بخلاصة زيت اللوز، 45 جرام,https://www.yodawy.com/wp-content/uploads/2021/02/6223004375248.jpg
ايفا كريم الشعر بخلاصة زيت اللوز، 85 جرام,https://www.yodawy.com/wp-content/uploads/2021/02/6223004375255.jpg
ايفا كريم تصفيف الشعر بخلاصة زيت الزيتون، 185 جرام,https://www.yodawy.com/wp-content/uploads/2021/02/6223004375231-350x316.jpg
ايفا كريم تصفيف الشعر بخلاصة زيت الزيتون، 45 جرام,https://www.yodawy.com/wp-content/uploads/2021/02/6223004375217-350x350.jpg
ايفا كريم تصفيف الشعر بخلاصة زيت الزيتون، 85 جرام,https://www.yodawy.com/wp-content/uploads/2021/02/6223004375224-350x350.jpg
"ايفا كريم لتصفيف الشعر بالعسل, 185 جم",https://www.yodawy.com/wp-content/uploads/2021/02/282108.jpg
"ايفا كريم لتصفيف الشعر بالعسل, 85 جم",https://www.yodawy.com/wp-content/uploads/2021/02/282107-350x350.jpg
"ايفا كريم للشعر بخلاصة الصبار, 100 جم",https://www.yodawy.com/wp-content/uploads/2021/02/200346-350x350.jpg
"ايفا كريم للشعر بخلاصة الصبار, 200 جم",https://www.yodawy.com/wp-content/uploads/2021/02/200345-350x350.jpg
"ايفا كريم للشعر بخلاصة الصبار, 50 جم",https://www.yodawy.com/wp-content/uploads/2021/02/280591-350x350.jpg
"ايفر بيور سيروم التحكم في الهيشان بخلاصة زيت الارجان, 150 مل",https://www.yodawy.com/wp-content/uploads/2021/02/636788-216x350.jpg
"ايفر بيور سيروم للشعر بخلاصة البيوتين و الكولاجين, 150 مل",https://www.yodawy.com/wp-content/uploads/2021/02/636897-213x350.jpg
"ايفر بيور سيروم للشعر بخلاصة زبدة الشيا, 150 مل",https://www.yodawy.com/wp-content/uploads/2021/02/639825-213x350.jpg
"ايفر بيور سيروم للشعر بخلاصة شجرة الشاي و النعناع,150 مل",https://www.yodawy.com/wp-content/uploads/2021/02/639830-350x350.jpg
"ايفر بيور شامبو بخلاصة شجرة الشاي و النعناع, 385 مل",https://www.yodawy.com/wp-content/uploads/2021/02/636900-350x350.jpg
"ايفري ستراند زيت ارجان للشعر, 175 مل",https://www.yodawy.com/wp-content/uploads/2021/02/815426116064-350x350.jpg
"بالمرز كريم تصفيف الشعر بتركيبة جوز الهند, 150 مل",https://www.yodawy.com/wp-content/uploads/2021/02/10181023002.jpg
"بالمرز كريم للعناية و تصفيف الشعر , 100 جم",https://www.yodawy.com/wp-content/uploads/2021/02/10181060007-350x350.jpg
"بالمرز كريم للعناية و تصفيف الشعر,  150 مل",https://www.yodawy.com/wp-content/uploads/2021/02/262593-350x350.jpg
"بالمرز كريم للعناية و تصفيف الشعر,  50 جم",https://www.yodawy.com/wp-content/uploads/2021/02/10181066221-350x350.jpg
"بالمرز هير فود كريم مغذي للشعر, 150 جم",https://www.yodawy.com/wp-content/uploads/2021/02/10181066962.jpg
"بانتين بديل الزيت العناية اليومية, 180 مل",https://www.yodawy.com/wp-content/uploads/2021/02/4902430137034-350x350.jpg
"بانتين بديل الزيت الليلي, 150 مل",https://www.yodawy.com/wp-content/uploads/2021/02/5013965918162.png
"بانتين بديل الزيت المضاد لتساقط الشعر, 350 مل",https://www.yodawy.com/wp-content/uploads/2021/02/4902430999601-350x350.jpg
"بانتين بديل الزيت المعالج للشعر التالف, 375 مل",https://www.yodawy.com/wp-content/uploads/2021/02/5410076691654-350x350.jpg
"بانتين بديل الزيت امتزاج الطبيعة, 180 مل",https://www.yodawy.com/wp-content/uploads/2021/02/5410076869886-248x350.jpg
"بانتين بديل الزيت امتزاج الطبيعة, 375 مل",https://www.yodawy.com/wp-content/uploads/2021/02/5410076869954.jpg
"بانتين بديل الزيت عناية مرطبة للشعر الجاف, 180 مل",https://www.yodawy.com/wp-content/uploads/2021/02/4015600830113-302x350.jpg
"بانتين بديل الزيت لزيادة كثافة الشعر, 200 مل",https://www.yodawy.com/wp-content/uploads/2021/02/4902430137065-350x350.jpg
"بانتين بديل الزيت لشعر انسيابي و حريري, 200 مل",https://www.yodawy.com/wp-content/uploads/2021/02/5410076869589.jpg
"بانتين بديل الزيت للشعر المصبوغ, 375 مل",https://www.yodawy.com/wp-content/uploads/2021/02/5410076691555-350x350.jpg
